"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 12:28:16 GMT 2022","Mon Jun 27 12:28:16 GMT 2022","179","","Отправляем http запросы","","Отправляем http запросы","Удалить заказ delete api/store/order 200","Удалить заказ delete api/store/order 200",""
"passed","Mon Jun 27 12:28:17 GMT 2022","Mon Jun 27 12:28:17 GMT 2022","46","","Отправляем http запросы","","Отправляем http запросы","Удалить пользователя по несуществующему логину get api/user 200","Удалить пользователя по несуществующему логину get api/user 200",""
"passed","Mon Jun 27 12:28:17 GMT 2022","Mon Jun 27 12:28:17 GMT 2022","67","","Отправляем http запросы","","Отправляем http запросы","Удалить пользователя get api/user 200","Удалить пользователя get api/user 200",""
"passed","Mon Jun 27 12:28:16 GMT 2022","Mon Jun 27 12:28:17 GMT 2022","250","","Отправляем http запросы","","Отправляем http запросы","Найти заказ на покупку питомца с несуществующим ID get api/store/order 200","Найти заказ на покупку питомца с несуществующим ID get api/store/order 200",""
"passed","Mon Jun 27 12:28:15 GMT 2022","Mon Jun 27 12:28:15 GMT 2022","110","","Отправляем http запросы","","Отправляем http запросы","Найти питомца по ID get api/pet 200","Найти питомца по ID get api/pet 200",""
"passed","Mon Jun 27 12:28:17 GMT 2022","Mon Jun 27 12:28:17 GMT 2022","64","","Отправляем http запросы","","Отправляем http запросы","Удалить заказ с несуществующим ID delete api/store/order 200","Удалить заказ с несуществующим ID delete api/store/order 200",""
"passed","Mon Jun 27 12:28:14 GMT 2022","Mon Jun 27 12:28:15 GMT 2022","147","","Отправляем http запросы","","Отправляем http запросы","Добавить(зарегистрировать) питомца post api/pet 200","Добавить(зарегистрировать) питомца post api/pet 200",""
"passed","Mon Jun 27 12:28:15 GMT 2022","Mon Jun 27 12:28:15 GMT 2022","48","","Отправляем http запросы","","Отправляем http запросы","Найти питомца по несуществующему ID get api/pet 200","Найти питомца по несуществующему ID get api/pet 200",""
"passed","Mon Jun 27 12:28:15 GMT 2022","Mon Jun 27 12:28:15 GMT 2022","212","","Отправляем http запросы","","Отправляем http запросы","Найти питомца по статусу get api/pet 200","Найти питомца по статусу get api/pet 200",""
"passed","Mon Jun 27 12:28:17 GMT 2022","Mon Jun 27 12:28:17 GMT 2022","48","","Отправляем http запросы","","Отправляем http запросы","Найти пользователя по логину get api/user 200","Найти пользователя по логину get api/user 200",""
"passed","Mon Jun 27 12:28:16 GMT 2022","Mon Jun 27 12:28:16 GMT 2022","47","","Отправляем http запросы","","Отправляем http запросы","Разместить заказ на продажу post api/store/order 200","Разместить заказ на продажу post api/store/order 200",""
"passed","Mon Jun 27 12:28:15 GMT 2022","Mon Jun 27 12:28:15 GMT 2022","88","","Отправляем http запросы","","Отправляем http запросы","Удалить питомца delete api/pet 200","Удалить питомца delete api/pet 200",""
"passed","Mon Jun 27 12:28:15 GMT 2022","Mon Jun 27 12:28:15 GMT 2022","182","","Отправляем http запросы","","Отправляем http запросы","Изменить запись о питомце post api/pet 200","Изменить запись о питомце post api/pet 200",""
"passed","Mon Jun 27 12:28:17 GMT 2022","Mon Jun 27 12:28:17 GMT 2022","47","","Отправляем http запросы","","Отправляем http запросы","Найти пользователя по несуществующему логину get api/user 200","Найти пользователя по несуществующему логину get api/user 200",""
"passed","Mon Jun 27 12:28:16 GMT 2022","Mon Jun 27 12:28:16 GMT 2022","86","","Отправляем http запросы","","Отправляем http запросы","Найти заказ на покупку питомца get api/store/order 200","Найти заказ на покупку питомца get api/store/order 200",""
"passed","Mon Jun 27 12:28:17 GMT 2022","Mon Jun 27 12:28:17 GMT 2022","48","","Отправляем http запросы","","Отправляем http запросы","Создать пользователя post api/user 200","Создать пользователя post api/user 200",""
"failed","Mon Jun 27 12:28:15 GMT 2022","Mon Jun 27 12:28:15 GMT 2022","49","","Отправляем http запросы","","Отправляем http запросы","Найти питомца по несуществующему статусу get api/pet 200","Найти питомца по несуществующему статусу get api/pet 200",""
